Species,Common_name,Abb,depth,contig,assembly size,number of genes,agsd.gs
Acanthisitta chloris,Rifleman,acaChl,29,18K/64K,1.05,14596,
Anas platyrhynchos,Peking_duck,anaPla,50,26K/1.2M,1.1,16521,1.49
Antrostomus carolinensis,Chuck-will's-widow,capCar,30,17K/45K,1.15,14676,
Apaloderma vittatum,Bar-tailed_trogon,apaVit,28,19K/56K,1.08,13615,
Aptenodytes forsteri,Emperor_penguin,aptFor,60,30K/5.1M,1.26,16070,
Balearica regulorum,Grey-crowned_crane,balReg,33,18K/51K,1.14,14173,1.44
Buceros rhinoceros,Rhinoceros_hornbill,bucRhi,35,14K/51K,1.08,13873,
Calypte anna,Anna's_hummingbird,calAnn,110,23K/4M,1.1,16000,1.14
Cariama cristata,Red-legged_seriema,carCri,24,17K/54K,1.15,14216,1.5
Cathartes aura,Turkey_vulture,catAur,25,12K/35K,1.17,13534,
Chaetura pelagica,Chimney_swift,chaPel,103,27K/3.8M,1.1,15373,
Charadrius vociferus,Killdeer,chaVoc,100,32K/3.6M,1.2,16856,
Chlamydotis macqueenii,Macqueen's_bustard,chlMac,27,18K/45K,1.09,13582,
Colius striatus,Speckled_mousebird,colStr,27,18K/45K,1.08,13538,
Columba livia,Pigeon,colLiv,63,22K/3.2M,1.11,16652,1.59
Corvus brachyrhynchos,American_crow,corBra,80,24K/6.9M,1.1,16562,1.25
Cuculus canorus,Common_cuckoo,cucCan,100,31K/3M,1.15,15889,
Egretta garzetta,Little_egret,egrGar,74,24K/3.1M,1.2,16585,
Eurypyga helias,Sunbittern,eurHel,33,16K/46K,1.1,13974,
Falco peregrinus,Peregrine_falcon,falPer,105,28K/3.9M,1.18,16242,1.45
Fulmarus glacialis,Northern_fulmar,fulGla,33,17K/46K,1.14,14306,
Gallus gallus,Chicken,galGal,7,36K/7.07M,1.05,16516,1.25
Gavia stellata,Red-throated_loon,gavSte,33,16K/45K,1.15,13454,
Geospiza fortis,Medium_ground-finch,geoFor,115,30K/5.2M,1.07,16286,
Haliaeetus albicilla,White-tailed_eagle,halAlb,26,20K/56K,1.14,13831,
Haliaeetus leucocephalus,Bald_eagle,halLeu,88,10K/670K,1.26,16526,1.43
Leptosomus discolor,Cuckoo-roller,lepDis,32,19K/61K,1.15,14831,
Manacus vitellinus,Golden-collared_manakin,manVit,110,34K/2.5M,1.12,15285,
Meleagris gallopavo,Turkey,melGal,17,12.6K/1.5M,1.04,16051,1.31
Melopsittacus undulatus,Budgerigar,melUnd,160,55K/10.6M,1.1,15470,1.33
Merops nubicus,Carmine_bee-eater,merNub,37,20K/47K,1.06,13467,
Mesitornis unicolor,Brown_mesite,mesUni,29,18K/46K,1.1,15371,
Nestor notabilis,Kea,nesNot,32,16K/37K,1.14,14074,
Nipponia nippon,Crested_ibis,nipNip,105,22K/5.4M,1.17,16756,
Opisthocomus hoazin,Hoatzin,opiHoa,100,24K/2.9M,1.14,15702,
Pelecanus crispus,Dalmatian_pelican,pelCri,34,18K/43K,1.17,14813,
Phaethon lepturus,White-tailed_tropicbird,phaLep,39,18K/47K,1.16,14970,
Phalacrocorax carbo,Great_cormorant,phaCar,24,15K/48K,1.15,13479,
Phoenicopterus ruber,American_flamingo,phoRub,33,16K/37K,1.14,14024,1.52
Picoides pubescens,Downy_woodpecker,picPub,105,20K/2M,1.17,15576,
Podiceps cristatus,Great-crested_grebe,podCri,30,13K/30K,1.15,13913,
Pterocles gutturalis,Yellow-throated_sandgrouse,pteGut,25,17K/49K,1.07,13867,
Pygoscelis adeliae,Adelie_penguin,pygAde,60,19K/5.0M,1.23,15270,
Struthio camelus,Common_ostrich,strCam,85,29K/3.5M,1.23,16178,2.16
Taeniopygia guttata,Zebra_finch,taeGut,6,39K/10M,1.2,17471,1.25
Tauraco erythrolophus,Red-crested_turaco,tauEry,30,18K/55K,1.17,15435,
Tinamus guttatus,White-throated_tinamou,tinGut,100,24K/242K,1.05,15773,
Tyto alba,Barn_owl,tytAlb,27,13K/51K,1.14,13613,1.73
