acaChl,PRJNA212877
antCar,PRJNA212888
apaVit,PRJNA212878
bucRhi,PRJNA212887
catAur,PRJNA212890
chaPel,PRJNA210808  
chaVoc,PRJNA212867
chlMac,PRJNA212891
colStr,PRJNA212892
cucCan,PRJNA212870
egrGar,PRJNA232959
eurHel,PRJNA212893
fulGla,PRJNA212894
gavSte,PRJNA212895
geoFor,PRJNA156703
halAlb,PRJNA212896
lepDis,PRJNA212897
manVit,PRJNA212872
merNub,PRJNA212898
mesUni,PRJNA212899
nesNot,PRJNA212900
nipNip,PRJNA232572
ophHoa,PRJNA212873
pelCri,PRJNA212901
phaCar,PRJNA212903
phaLep,PRJNA212902
phoRub,PRJNA212904
picPub,PRJNA212874
podCri,PRJNA212905
pteGut,PRJNA212906
pygAde,PRJNA235983
tauEry,PRJNA212908
tinGut,PRJNA212876
aptFor,PRJNA235982
